0,1,2,3,4,5,6,7,8,9
Theft,Jul 31 2021,22:45 UTC,N,N 5 ° 35 ' 0 '',E,E 0 ° 3 ' 0 '',Theft,Serial 21/41 | Jul 31 2021,"On the 31st July at 2245UTC, 3 intruders were spotted attempting to board an MV (NAME WITHHELD). Crew were able to repel the intruders with fire hoses. At 2320UTC the intruders returned but were repelled by the crew. Crew reported safe and no items were stolen."
Irregular Activity,Jul 27 2021,04:00 UTC,S,S 0 ° 53 ' 0 '',E,E 7 ° 7 ' 0 '',Irregular Activity,Serial 21/040 | Jul 27 2021,"On the 27th of July at 0400UTC, an MV (NAME WITHHELD) reported a suspicious activity. 1 fishing vessel and 2 skiffs approached the vessel with bright lights. The vessel managed to keep them 2Nm away."
Irregular Activity,Jul 09 2021,12:02 UTC,S,S 0 ° 10 ' 50 '',E,E 6 ° 56 ' 50 '',WARNING 002/JUL/2021,Serial 002/JUL/2021 | Jul 09 2021,MDAT-GoG is aware of an increased threat of piracy within an area bounded by : a. 022335N 0095021E b. 022502N 0035745E c. 025702S 0040011E d. 025514S 0100212E Mariners are advised to exercise extreme caution when transiting this area.
Robbery,Jul 08 2021,03:30 UTC,N,N 9 ° 18 ' 0 '',W,W 13 ° 49 ' 0 '',ROBBERY AT CONAKRY ANCHORAGE,Serial 21/039 | Jul 08 2021,A MV reported a robbery whilst at Conakry anchorage. Seven armed intruders managed to climb onboard and steal crew belongings. All crew is safe.
Irregular Activity,Jul 05 2021,10:12 UTC,N,N 2 ° 30 ' 0 '',E,E 7 ° 3 ' 0 '',WARNING 001/JUL/2021,Serial 001/JUL/2021 | Jul 05 2021,MDAT-GoG is aware of an increased threat of piracy within an area of zone E. Mariners are advised to exercise extreme caution when transiting this area. Coordinates: A) 023000N 0073000E                      B) 023000N 0023000E                      C) 050000N 0023000E                      D) 050044N 0051317E                      E) 042059N 0060326E                      F) 043532N 0072606E The WARNING 001/JUL/2021supersed the ADVISORY 008/JUN/2021
Irregular Activity,Jun 30 2021,17:10 UTC,N,N 0 ° 0 ' 0 '',E,E 0 ° 0 ' 0 '',ADVISORY 008/JUN/2021,Serial 008/JUN/2021 | Jun 30 2021,MDAT-GoG is aware of an increased threat of piracy to mariners in ZONE F. The ADVISORY 008/JUN/2021 is superseded by the WARNING 001/JUL2021
Miscellaneous,Jun 28 2021,14:47 UTC,N,N 0 ° 0 ' 0 '',E,E 0 ° 0 ' 0 '',MDAT NOTICE 001/JUN,Serial MDAT NOTICE 001 | Jun 28 2021,"Category: Interim Telephone Number Description: Due to Essential Maintenance, the emergency MDAT-GOG contact number will not be available on 291200ZJUN21 until 301200ZJUN21. Please use the following number until further notification: action due to planned maintenance. + 44 2392 222 20 64"
Miscellaneous,Jun 07 2021,10:35 UTC,N,N 2 ° 30 ' 0 '',E,E 5 ° 0 ' 0 '',ADVISORY/007/JUN/21,Serial ADV/007JUN/21 | Jun 07 2021,MDAT-GOG is aware that the piracy threat remains high in the area defined by the following points: 05°00’N – 000°00’E 05°00’N – 005°00’E 02°30’N – 005°00’E 02°30’N – 000°00’E
Boarding,Jun 06 2021,19:00 UTC,N,N 2 ° 56 ' 0 '',E,E 2 ° 41 ' 0 '',ADVISORY 006/JUN,Serial 006/UPD 001 | Jun 06 2021,"MDAT-GOG has received a report that a merchant vessel has been approached by a small fast craft, with 6 unknown persons in position 0257N 00241E (approx 200 NM south of Cotonou, Benin UPDATE : MDAT-GOG cancels ADVISORY 006/JUN/2021. The event previously described in ADVISORY 006/JUN is the same as the one reported in ADVISORY 005/JUN. ADVISORY 005 remains enforced."
Attack,Jun 06 2021,17:00 UTC,N,N 2 ° 49 ' 0 '',E,E 2 ° 31 ' 0 '',ADVISORY 005/JUN/2021,Serial 005/JUN/2021 | Jun 06 2021,"MDAT-GOG has received a report that a merchant vessel was subjected to an attempted boarding in position 0249N 00231E (Approx 210 NM south of Cotonou ,Benin). Crew and vessel are safe."
Miscellaneous,Jun 04 2021,12:36 UTC,N,N 2 ° 30 ' 0 '',E,E 5 ° 0 ' 0 '',ADVISORY 004/JUN/2021,Serial 004/JUN/2021 | Jun 04 2021,"INCREASE OF PIRACY THREAT : Risk of piracy is assessed to be high in Zones D (North), E & F (East) in the next 36 hours. This ADVISORY supersedes ADVISORY 002/MAY/21 and ADVISORY 002/JUN/21. We strongly recommend that the seafaring community and ships transiting this area, increase their vigilance and retain an enhanced local surveillance and apply BMP WA procedures."
Suspicious Approach,Jun 04 2021,09:40 UTC,N,N 5 ° 29 ' 36 '',E,E 0 ° 44 ' 20 '',ADVISORY 003/JUN/2021,Serial 003/JUN/2021 | Jun 04 2021,Master reports suspicious approach by small craft with 10 POB in position 052965N 0004436E. vessel and crew safe
Miscellaneous,Jun 02 2021,19:43 UTC,N,N 0 ° 0 ' 0 '',E,E 0 ° 0 ' 0 '',ADVISORY 002/JUN/2021,Serial 002/JUN | Jun 02 2021,"MDAT-GoG is aware of a current increased threat of piracy in ZONE F. 3. We strongly recommend that the seafaring community, ships and fishing vessels, who are thought to be the primary target, transiting this area 4. increase their vigilance and retain an enhanced local surveillance and apply BMP WA procedures."
Boarding,,,,,,,,,
Irregular Activity,May 31 2021,15:15 UTC,N,N 5 ° 0 ' 0 '',E,E 2 ° 30 ' 0 '',INCREASE OF PIRACY THREAT,Serial 002/MAY/2021 | May 31 2021,"MDAT-GOG is aware of a current increased threat of piracy in the area defined by the following points: 05°00’N – 002°30’E 05°00’N – 005°00’E 02°30’N – 005°00’E 02°30’N – 002°30’E We strongly recommend that the seafaring community and ships transiting this area, increase their vigilance and retain an enhanced local surveillance and apply BMP WA procedures."
Theft,May 27 2021,03:20 UTC,N,N 4 ° 42 ' 0 '',E,E 7 ° 9 ' 0 '',Theft Onne,Serial 21/034 | May 27 2021,"On the 26th May at 0320UTC, an intruder was spotted on an MV berthed at Onne port, NIGERIA. He fled on a canoe when the alarm was raised. A Nigerian patrol boat was dispatched to secure the area."
